what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1358429691678
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1358429691678
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1358429691678
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1358429691678
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1358429691689
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1358429691689
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1358429691689
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1358429691689
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1358429691689
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1358429691689
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1358429691689
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1358429691689
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1358429691689
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1358429691689
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1358429691689
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1358429691689
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1358429691689
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1358429691689
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1358429691689
started,bundle,org.tigris.subversion.subclipse.core,1.6.18,"org.tigris.subversion.subclipse.core",1358429691689
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1358429691689
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.0.1,"org.tigris.subversion.subclipse.tools.usage",1358429691689
os,sysinfo,,,"win32",1358429691693
arch,sysinfo,,,"x86",1358429691693
ws,sysinfo,,,"win32",1358429691693
locale,sysinfo,,,"en_US",1358429691693
processors,sysinfo,,,"8",1358429691693
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1358429691693
java.runtime.version,sysinfo,,,"1.6.0_35-b10",1358429691693
java.specification.name,sysinfo,,,"Java Platform API Specification",1358429691693
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358429691693
java.specification.version,sysinfo,,,"1.6",1358429691693
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1358429691693
java.version,sysinfo,,,"1.6.0_35",1358429691693
java.vm.info,sysinfo,,,"mixed mode",1358429691693
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1358429691693
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1358429691693
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1358429691693
java.vm.specification.version,sysinfo,,,"1.0",1358429691693
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1358429691693
java.vm.version,sysinfo,,,"20.10-b01",1358429691693
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1358429691696
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429691757
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429694704
started,bundle,com.collabnet.subversion.merge,2.2.4,"com.collabnet.subversion.merge",1358429694993
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1358429695100
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1358429695113
started,bundle,org.tigris.subversion.subclipse.ui,1.6.18,"org.tigris.subversion.subclipse.ui",1358429695218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429698172
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429711708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429824031
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1358429837773
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1358429837815
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429862224
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1358429862373
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1358429862431
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1358429865713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429871587
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1358429885494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429887560
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358429890868
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358429891097
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1358429891267
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429929410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429931215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358429933072
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430082520
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1358430083935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430087000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1358430096953
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430097031
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1358430097089
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1358430097344
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1358430118628
